timestamp,access_time,cache_hit,attack_type,cpu_usage,memory_access_pattern
0.019000,90,1,normal,0.000045,sequential_access_8
0.029000,76,1,normal,0.000973,random_access_9
0.041000,46,1,normal,0.000974,stride_access_6
0.054000,44,1,normal,0.000975,block_access_8
0.065000,44,1,normal,0.000975,sequential_access_4
0.083000,48,1,normal,0.000976,random_access_9
0.095000,40,1,normal,0.000976,stride_access_1
0.112000,42,1,normal,0.000977,block_access_1
0.129000,42,1,normal,0.000978,sequential_access_9
0.144000,42,1,normal,0.000978,random_access_4
0.158000,40,1,normal,0.000979,stride_access_9
0.168000,42,1,normal,0.000979,block_access_4
0.184000,40,1,normal,0.000980,sequential_access_8
0.199000,40,1,normal,0.000980,random_access_2
0.209000,40,1,normal,0.000981,stride_access_9
0.226000,40,1,normal,0.000981,block_access_6
0.243000,40,1,normal,0.000982,sequential_access_1
0.262000,42,1,normal,0.000982,random_access_9
0.281000,40,1,normal,0.000983,stride_access_1
0.297000,42,1,normal,0.000983,block_access_5
0.313000,42,1,normal,0.000984,sequential_access_0
0.324000,42,1,normal,0.000984,random_access_6
0.342000,40,1,normal,0.000985,stride_access_8
0.360000,42,1,normal,0.000985,block_access_1
0.375000,42,1,normal,0.000986,sequential_access_5
0.391000,40,1,normal,0.000986,random_access_3
0.410000,42,1,normal,0.000987,stride_access_1
0.420000,44,1,normal,0.000987,block_access_6
0.430000,40,1,normal,0.000988,sequential_access_6
0.445000,42,1,normal,0.000988,random_access_5
0.458000,44,1,normal,0.000989,stride_access_2
0.471000,42,1,normal,0.000989,block_access_4
0.484000,42,1,normal,0.000990,sequential_access_0
0.497000,40,1,normal,0.000990,random_access_2
0.514000,42,1,normal,0.000991,stride_access_2
0.528000,46,1,normal,0.000991,block_access_9
0.546000,40,1,normal,0.000992,sequential_access_3
0.558000,46,1,normal,0.000992,random_access_8
0.569000,40,1,normal,0.000993,stride_access_6
0.582000,40,1,normal,0.000993,block_access_2
0.599000,48,1,normal,0.000994,sequential_access_6
0.609000,40,1,normal,0.000994,random_access_9
0.626000,44,1,normal,0.000995,stride_access_7
0.641000,38,1,normal,0.000995,block_access_2
0.660000,44,1,normal,0.000996,sequential_access_9
0.671000,42,1,normal,0.000996,random_access_0
0.687000,42,1,normal,0.000997,stride_access_2
0.701000,46,1,normal,0.000997,block_access_4
0.719000,46,1,normal,0.000998,sequential_access_9
0.732000,46,1,normal,0.000998,random_access_7
0.751000,40,1,normal,0.000999,stride_access_6
0.762000,40,1,normal,0.000999,block_access_7
0.779000,44,1,normal,0.001000,sequential_access_7
0.794000,42,1,normal,0.001000,random_access_5
0.813000,42,1,normal,0.001001,stride_access_8
0.830000,42,1,normal,0.001001,block_access_8
0.847000,40,1,normal,0.001002,sequential_access_7
0.863000,48,1,normal,0.001002,random_access_7
0.874000,40,1,normal,0.001003,stride_access_4
0.887000,46,1,normal,0.001003,block_access_3
0.902000,40,1,normal,0.001004,sequential_access_0
0.914000,42,1,normal,0.001004,random_access_6
0.924000,40,1,normal,0.001005,stride_access_1
0.936000,38,1,normal,0.001006,block_access_8
0.951000,42,1,normal,0.001006,sequential_access_8
0.967000,42,1,normal,0.001007,random_access_5
0.981000,40,1,normal,0.001007,stride_access_6
0.996000,40,1,normal,0.001008,block_access_0
1.013000,42,1,normal,0.001008,sequential_access_4
1.025000,42,1,normal,0.001009,random_access_0
1.043000,42,1,normal,0.001009,stride_access_7
1.059000,38,1,normal,0.001010,block_access_1
1.069000,40,1,normal,0.001010,sequential_access_5
1.080000,42,1,normal,0.001011,random_access_4
1.099000,40,1,normal,0.001011,stride_access_1
1.110000,42,1,normal,0.001012,block_access_6
1.122000,42,1,normal,0.001012,sequential_access_4
1.137000,40,1,normal,0.001013,random_access_5
1.150000,40,1,normal,0.001013,stride_access_4
1.165000,44,1,normal,0.001014,block_access_7
1.179000,42,1,normal,0.001014,sequential_access_1
1.198000,40,1,normal,0.001014,random_access_3
1.211000,42,1,normal,0.001015,stride_access_0
1.225000,42,1,normal,0.001015,block_access_5
1.240000,40,1,normal,0.001016,sequential_access_3
1.250000,42,1,normal,0.001016,random_access_9
1.260000,40,1,normal,0.001036,stride_access_6
1.273000,40,1,normal,0.001036,block_access_8
1.287000,42,1,normal,0.001037,sequential_access_3
1.301000,40,1,normal,0.001037,random_access_7
1.314000,42,1,normal,0.001038,stride_access_3
1.331000,42,1,normal,0.001038,block_access_8
1.346000,40,1,normal,0.001039,sequential_access_8
1.358000,40,1,normal,0.001039,random_access_4
1.371000,40,1,normal,0.001040,stride_access_1
1.385000,44,1,normal,0.001040,block_access_9
1.398000,40,1,normal,0.001041,sequential_access_7
1.417000,42,1,normal,0.001041,random_access_3
1.427000,40,1,normal,0.001042,stride_access_6
1.446000,46,1,normal,0.001043,block_access_4
1.459000,42,1,normal,0.001043,sequential_access_6
1.473000,40,1,normal,0.001044,random_access_1
1.484000,42,1,normal,0.001044,stride_access_5
1.502000,40,1,normal,0.001045,block_access_7
1.516000,42,1,normal,0.001045,sequential_access_7
1.528000,42,1,normal,0.001046,random_access_5
1.543000,40,1,normal,0.001046,stride_access_0
1.561000,40,1,normal,0.001047,block_access_1
1.576000,42,1,normal,0.001047,sequential_access_0
1.587000,42,1,normal,0.001048,random_access_2
1.599000,42,1,normal,0.001048,stride_access_0
1.618000,46,1,normal,0.001049,block_access_7
1.629000,40,1,normal,0.001049,sequential_access_7
1.644000,44,1,normal,0.001050,random_access_9
1.657000,40,1,normal,0.001050,stride_access_1
1.676000,42,1,normal,0.001051,block_access_7
1.694000,40,1,normal,0.001051,sequential_access_6
1.707000,42,1,normal,0.001052,random_access_3
1.720000,40,1,normal,0.001052,stride_access_2
1.731000,40,1,normal,0.001053,block_access_2
1.748000,40,1,normal,0.001053,sequential_access_7
1.765000,40,1,normal,0.001054,random_access_4
1.780000,42,1,normal,0.001054,stride_access_2
1.794000,44,1,normal,0.001055,block_access_7
1.806000,40,1,normal,0.001055,sequential_access_3
1.819000,38,1,normal,0.001056,random_access_8
1.834000,42,1,normal,0.001056,stride_access_6
1.847000,42,1,normal,0.001056,block_access_3
1.861000,42,1,normal,0.001057,sequential_access_8
1.871000,40,1,normal,0.001057,random_access_8
1.886000,40,1,normal,0.001058,stride_access_7
1.901000,38,1,normal,0.001058,block_access_1
1.918000,40,1,normal,0.001059,sequential_access_6
1.928000,42,1,normal,0.001059,random_access_8
1.938000,42,1,normal,0.001060,stride_access_0
1.957000,40,1,normal,0.001060,block_access_1
1.972000,42,1,normal,0.001061,sequential_access_9
1.985000,42,1,normal,0.001061,random_access_7
2.001000,40,1,normal,0.001062,stride_access_3
2.017000,42,1,normal,0.001062,block_access_8
2.033000,40,1,normal,0.001063,sequential_access_8
2.049000,38,1,normal,0.001063,random_access_9
2.063000,42,1,normal,0.001064,stride_access_3
2.075000,42,1,normal,0.001064,block_access_9
2.093000,42,1,normal,0.001065,sequential_access_8
2.110000,42,1,normal,0.001065,random_access_2
2.125000,42,1,normal,0.001066,stride_access_5
2.136000,40,1,normal,0.001066,block_access_2
2.149000,40,1,normal,0.001067,sequential_access_2
2.163000,40,1,normal,0.001067,random_access_1
2.178000,40,1,normal,0.001067,stride_access_5
2.193000,42,1,normal,0.001068,block_access_4
2.206000,42,1,normal,0.001068,sequential_access_0
2.221000,40,1,normal,0.001069,random_access_8
2.239000,40,1,normal,0.001069,stride_access_9
2.249000,40,1,normal,0.001070,block_access_1
2.262000,46,1,normal,0.001070,sequential_access_4
2.280000,40,1,normal,0.001071,random_access_6
2.298000,38,1,normal,0.001071,stride_access_9
2.316000,42,1,normal,0.001072,block_access_0
2.330000,42,1,normal,0.001073,sequential_access_6
2.343000,40,1,normal,0.001073,random_access_5
2.353000,40,1,normal,0.001074,stride_access_1
2.369000,40,1,normal,0.001074,block_access_5
2.387000,44,1,normal,0.001075,sequential_access_3
2.405000,42,1,normal,0.001075,random_access_0
2.419000,44,1,normal,0.001076,stride_access_3
2.435000,40,1,normal,0.001076,block_access_5
2.451000,42,1,normal,0.001076,sequential_access_9
2.470000,42,1,normal,0.001077,random_access_1
2.485000,40,1,normal,0.001077,stride_access_4
2.504000,40,1,normal,0.001078,block_access_1
2.523000,42,1,normal,0.001079,sequential_access_8
2.540000,40,1,normal,0.001079,random_access_9
2.551000,40,1,normal,0.001082,stride_access_7
2.566000,40,1,normal,0.001083,block_access_7
2.581000,42,1,normal,0.001083,sequential_access_7
2.599000,40,1,normal,0.001084,random_access_9
2.615000,42,1,normal,0.001084,stride_access_5
2.625000,40,1,normal,0.001085,block_access_4
2.640000,42,1,normal,0.001085,sequential_access_4
2.650000,40,1,normal,0.001086,random_access_0
2.666000,42,1,normal,0.001086,stride_access_1
2.677000,42,1,normal,0.001087,block_access_6
2.696000,40,1,normal,0.001087,sequential_access_2
2.712000,38,1,normal,0.001088,random_access_2
2.727000,40,1,normal,0.001088,stride_access_4
2.741000,40,1,normal,0.001089,block_access_7
2.759000,40,1,normal,0.001089,sequential_access_4
2.771000,42,1,normal,0.001090,random_access_2
2.790000,40,1,normal,0.001090,stride_access_9
2.806000,40,1,normal,0.001091,block_access_7
2.824000,42,1,normal,0.001091,sequential_access_4
2.835000,40,1,normal,0.001092,random_access_5
2.846000,42,1,normal,0.001092,stride_access_4
2.857000,40,1,normal,0.001093,block_access_3
2.871000,40,1,normal,0.001093,sequential_access_6
2.881000,40,1,normal,0.001094,random_access_1
2.900000,42,1,normal,0.001094,stride_access_2
2.916000,40,1,normal,0.001095,block_access_3
2.931000,42,1,normal,0.001095,sequential_access_8
2.946000,42,1,normal,0.001096,random_access_4
2.960000,40,1,normal,0.001096,stride_access_0
2.976000,40,1,normal,0.001097,block_access_9
2.989000,40,1,normal,0.001097,sequential_access_2
3.001000,40,1,normal,0.001098,random_access_8
3.019000,42,1,normal,0.001098,stride_access_5
3.030000,42,1,normal,0.001098,block_access_8
3.045000,42,1,normal,0.001099,sequential_access_8
3.058000,42,1,normal,0.001099,random_access_3
3.076000,40,1,normal,0.001100,stride_access_7
3.091000,40,1,normal,0.001100,block_access_4
3.106000,40,1,normal,0.001101,sequential_access_2
3.122000,38,1,normal,0.001101,random_access_7
3.132000,40,1,normal,0.001102,stride_access_6
3.146000,40,1,normal,0.001102,block_access_2
3.165000,40,1,normal,0.001103,sequential_access_7
3.182000,42,1,normal,0.001103,random_access_1
3.193000,46,1,normal,0.001104,stride_access_3
3.208000,40,1,normal,0.001104,block_access_6
3.224000,40,1,normal,0.001105,sequential_access_4
3.243000,46,1,normal,0.001105,random_access_9
3.261000,44,1,normal,0.001106,stride_access_6
3.276000,40,1,normal,0.001106,block_access_3
3.292000,38,1,normal,0.001107,sequential_access_5
3.306000,40,1,normal,0.001107,random_access_8
3.320000,42,1,normal,0.001108,stride_access_4
3.339000,40,1,normal,0.001108,block_access_0
3.356000,40,1,normal,0.001109,sequential_access_1
3.373000,40,1,normal,0.001109,random_access_5
3.383000,42,1,normal,0.001110,stride_access_8
3.400000,40,1,normal,0.001110,block_access_3
3.415000,40,1,normal,0.001111,sequential_access_9
3.429000,40,1,normal,0.001111,random_access_7
3.442000,40,1,normal,0.001112,stride_access_6
3.454000,38,1,normal,0.001112,block_access_9
3.465000,42,1,normal,0.001113,sequential_access_9
3.481000,38,1,normal,0.001113,random_access_4
3.498000,40,1,normal,0.001114,stride_access_1
3.514000,42,1,normal,0.001114,block_access_3
3.525000,42,1,normal,0.001115,sequential_access_5
3.536000,42,1,normal,0.001115,random_access_1
3.549000,40,1,normal,0.001116,stride_access_7
3.567000,40,1,normal,0.001116,block_access_0
3.585000,40,1,normal,0.001117,sequential_access_0
3.595000,42,1,normal,0.001117,random_access_7
3.605000,38,1,normal,0.001118,stride_access_0
3.624000,42,1,normal,0.001118,block_access_8
3.639000,40,1,normal,0.001119,sequential_access_5
3.652000,40,1,normal,0.001119,random_access_5
3.668000,40,1,normal,0.001120,stride_access_0
3.687000,42,1,normal,0.001120,block_access_6
3.699000,40,1,normal,0.001121,sequential_access_7
3.717000,40,1,normal,0.001121,random_access_7
3.727000,40,1,normal,0.001122,stride_access_9
3.743000,40,1,normal,0.001122,block_access_5
3.761000,40,1,normal,0.001123,sequential_access_3
3.771000,38,1,normal,0.001123,random_access_7
3.781000,38,1,normal,0.001124,stride_access_1
3.794000,42,1,normal,0.001124,block_access_0
3.811000,42,1,normal,0.001125,sequential_access_8
3.829000,40,1,normal,0.001125,random_access_6
3.845000,40,1,normal,0.001127,stride_access_8
3.860000,42,1,normal,0.001128,block_access_9
3.874000,40,1,normal,0.001128,sequential_access_3
3.887000,40,1,normal,0.001129,random_access_9
3.904000,40,1,normal,0.001129,stride_access_2
3.914000,42,1,normal,0.001130,block_access_4
3.926000,42,1,normal,0.001130,sequential_access_9
3.936000,42,1,normal,0.001131,random_access_8
3.951000,38,1,normal,0.001131,stride_access_2
3.969000,44,1,normal,0.001132,block_access_6
3.984000,40,1,normal,0.001132,sequential_access_5
4.000000,42,1,normal,0.001133,random_access_8
4.011000,42,1,normal,0.001133,stride_access_5
4.026000,40,1,normal,0.001134,block_access_2
4.044000,40,1,normal,0.001134,sequential_access_8
4.062000,40,1,normal,0.001135,random_access_3
4.076000,42,1,normal,0.001135,stride_access_6
4.095000,42,1,normal,0.001136,block_access_4
4.108000,38,1,normal,0.001136,sequential_access_0
4.121000,42,1,normal,0.001137,random_access_4
4.139000,42,1,normal,0.001137,stride_access_0
4.150000,40,1,normal,0.001137,block_access_3
4.163000,42,1,normal,0.001138,sequential_access_0
4.178000,42,1,normal,0.001139,random_access_3
4.189000,42,1,normal,0.001139,stride_access_9
4.205000,42,1,normal,0.001139,block_access_3
4.218000,40,1,normal,0.001140,sequential_access_6
4.230000,42,1,normal,0.001140,random_access_3
